cte	speed	angle	d_error	i_error	p_error	steering_angle	throttle	
0.7598	0.0	0.0	0.7598	0.7598	0.7598	-4.7115198	0.01	
0.7598	0.438	0.0	0.0	1.5196	0.7598	-0.1534796	0.6465204	
0.7598	0.876	-25.0	0.0	2.2794	0.7598	-0.1542394	0.6457606	
0.7598	0.876	-25.0	0.0	3.0392	0.7598	-0.1549992	0.6450008	
0.7598	1.314	-3.4197	0.0	3.799	0.7598	-0.155759	0.644241	
0.7598	1.752	-3.4386	0.0	4.5588	0.7598	-0.1565188	0.6434812	
0.7598	2.19	-3.4576	0.0	5.3186	0.7598	-0.1572786	0.6427214	
0.7598	2.19	-3.4576	0.0	6.0784	0.7598	-0.1580384	0.6419616	
0.7598	2.19	-3.4576	0.0	6.8382	0.7598	-0.1587982	0.6412018	
0.7598	2.628	-3.5146	0.0	7.598	0.7598	-0.159558	0.640442	
0.7598	3.066	-3.5336	0.0	8.3578	0.7598	-0.1603178	0.6396822	
0.7598	3.066	-3.5336	0.0	9.1176	0.7598	-0.1610776	0.6389224	
0.7598	3.504	-3.5716	0.0	9.8774	0.7598	-0.1618374	0.6381626	
0.7598	3.942	-3.5906	0.0	10.6372	0.7598	-0.1625972	0.6374028	
0.7598	4.38	-3.6096	0.0	11.397	0.7598	-0.163357	0.636643	
0.7598	4.38	-3.6096	0.0	12.1568	0.7598	-0.1641168	0.6358832	
0.7598	4.818	-3.6476	0.0	12.9166	0.7598	-0.1648766	0.6351234	
0.7598	5.256	-3.6666	0.0	13.6764	0.7598	-0.1656364	0.6343636	
0.7598	5.694	-3.6856	0.0	14.4362	0.7598	-0.1663962	0.6336038	
0.7598	6.132	-3.7046	0.0	15.196	0.7598	-0.167156	0.632844	
0.7599	6.57	-3.7236	9.9999999999989e-05	15.9559	0.7599	-0.1685359	0.6314641	
0.7598	6.7858	-3.7426	-9.9999999999989e-05	16.7157	0.7598	-0.1680757	0.6319243	
0.7598	6.7858	-3.7426	0.0	17.4755	0.7598	-0.1694355	0.6305645	
0.7597	4.8861	-3.7656	-9.9999999999989e-05	18.2352	0.7597	-0.1695752	0.6304248	
0.7596	3.2022	-3.7996	-9.9999999999989e-05	18.9948	0.7596	-0.1703148	0.6296852	
0.7594	1.7398	-3.803	-0.000200000000000089	19.7542	0.7594	-0.170434199999999	0.629565800000001	
0.7591	0.7293	-3.8215	-0.000299999999999967	20.5133	0.7591	-0.1705333	0.6294667	
0.7589	0.7703	-3.8245	-0.000199999999999978	21.2722	0.7589	-0.1718522	0.6281478	
0.7589	0.7703	-3.8245	0.0	22.0311	0.7589	-0.1738111	0.6261889	
0.7586	1.3537	-3.86	-0.000299999999999967	22.7897	0.7586	-0.1727097	0.6272903	
0.7583	1.69	-3.9089	-0.000300000000000078	23.548	0.7583	-0.173408	0.626592	
0.7579	1.8687	-3.8814	-0.000399999999999956	24.3059	0.7579	-0.1734859	0.6265141	
0.7576	1.8379	-3.8989	-0.000299999999999967	25.0635	0.7576	-0.1747835	0.6252165	
0.7573	1.7061	-3.9008	-0.000300000000000078	25.8208	0.7573	-0.1754808	0.6245192	
0.7573	1.7061	-3.9008	0.0	26.5781	0.7573	-0.1780381	0.6219619	
0.7569	1.5168	-3.9507	-0.000399999999999956	27.335	0.7569	-0.176315	0.623685	
0.7565	1.3095	-4.0146	-0.000400000000000067	28.0915	0.7565	-0.1769915	0.623008500000001	
0.756	1.1484	-3.9715	-0.000499999999999945	28.8475	0.756	-0.1770475	0.6229525	
0.7556	1.057	-3.9885	-0.000399999999999956	29.6031	0.7556	-0.1783231	0.6216769	
0.7556	1.057	-3.9885	0.0	30.3587	0.7556	-0.1814787	0.6185213	
0.7551	1.0474	-4.0217	-0.000500000000000056	31.1138	0.7551	-0.1791338	0.6208662	
0.7545	1.0777	-4.1006	-0.000600000000000045	31.8683	0.7545	-0.1791683	0.6208317	
0.754	1.1671	-4.042	-0.000499999999999945	32.6223	0.754	-0.1804223	0.6195777	
0.7534	1.2461	-4.0429	-0.000600000000000045	33.3757	0.7534	-0.1804557	0.6195443	
0.7527	1.3147	-4.0742	-0.000699999999999923	34.1284	0.7527	-0.1804684	0.6195316	
0.7527	1.3147	-4.0742	0.0	34.8811	0.7527	-0.1854211	0.6145789	
0.7521	1.3207	-4.0754	-0.000600000000000045	35.6332	0.7521	-0.1824532	0.6175468	
0.7513	1.4606	-4.1992	-0.000800000000000023	36.3845	0.7513	-0.1818445	0.6181555	
0.7513	1.4606	-4.1992	0.0	37.1358	0.7513	-0.1873958	0.6126042	
0.7506	1.5163	-4.1098	-0.000699999999999923	37.8864	0.7506	-0.1838064	0.6161936	
0.7506	1.5163	-4.1098	0.0	38.637	0.7506	-0.188757	0.611243	
0.7498	1.531	-4.1588	-0.000800000000000023	39.3868	0.7498	-0.1845468	0.6154532	
0.749	1.5908	-4.2826	-0.000800000000000023	40.1358	0.749	-0.1851358	0.6148642	
0.749	1.5908	-4.2826	0.0	40.8848	0.749	-0.1906848	0.6093152	
0.7481	1.6914	-4.1921	-0.000900000000000012	41.6329	0.7481	-0.1858529	0.6141471	
0.7481	1.6914	-4.1921	0.0	42.381	0.7481	-0.192001	0.607999	
0.7472	1.7718	-4.21	-0.000900000000000012	43.1282	0.7472	-0.1871682	0.6128318	
0.7472	1.7718	-4.21	0.0	43.8754	0.7472	-0.1933154	0.6066846	
0.7462	1.8245	-4.2429	-0.001	44.6216	0.7462	-0.1878616	0.6121384	
0.7451	1.9118	-4.3966	-0.00109999999999999	45.3667	0.7451	-0.1877867	0.6122133	
0.7451	1.9118	-4.3966	0.0	46.1118	0.7451	-0.1951318	0.6048682	
0.744	1.9763	-4.2583	-0.00109999999999999	46.8558	0.744	-0.1890558	0.6109442	
0.744	1.9763	-4.2583	0.0	47.5998	0.744	-0.1963998	0.6036002	
0.7429	2.0825	-4.2901	-0.00109999999999999	48.3427	0.7429	-0.1903227	0.6096773	
0.7429	2.0825	-4.2901	0.0	49.0856	0.7429	-0.1976656	0.6023344	
0.7417	2.1453	-4.3217	-0.00119999999999998	49.8273	0.7417	-0.1909673	0.6090327	
0.7417	2.1453	-4.3217	0.0	50.569	0.7417	-0.198909	0.601091	
0.7404	2.22	-4.3379	-0.00130000000000008	51.3094	0.7404	-0.1915894	0.6084106	
0.7404	2.22	-4.3379	0.0	52.0498	0.7404	-0.2001298	0.5998702	
0.7391	2.3071	-4.3534	-0.00129999999999997	52.7889	0.7391	-0.1928089	0.6071911	
0.7377	2.3891	-4.5669	-0.00139999999999996	53.5266	0.7377	-0.1926666	0.6073334	
0.7377	2.3891	-4.5669	0.0	54.2643	0.7377	-0.2018043	0.5981957	
0.7363	2.4855	-4.3803	-0.00140000000000007	55.0006	0.7363	-0.1938606	0.6061394	
0.7363	2.4855	-4.3803	0.0	55.7369	0.7363	-0.2029969	0.5970031	
0.7347	2.5916	-4.4102	-0.00159999999999993	56.4716	0.7347	-0.1938116	0.6061884	
0.7347	2.5916	-4.4102	0.0	57.2063	0.7347	-0.2041463	0.5958537	
0.7331	2.6854	-4.409	-0.00160000000000005	57.9394	0.7331	-0.1949594	0.6050406	
0.7314	2.796	-4.6673	-0.00169999999999992	58.6708	0.7314	-0.1947508	0.6052492	
0.7314	2.796	-4.6673	0.0	59.4022	0.7314	-0.2056822	0.5943178	
0.7296	2.9098	-4.4324	-0.00180000000000002	60.1318	0.7296	-0.1952518	0.6047482	
0.7296	2.9098	-4.4324	0.0	60.8614	0.7296	-0.2067814	0.5932186	
0.7277	3.0165	-4.445	-0.00190000000000001	61.5891	0.7277	-0.1957291	0.6042709	
0.7277	3.0165	-4.445	0.0	62.3168	0.7277	-0.2078568	0.5921432	
0.7258	3.1222	-4.4569	-0.00190000000000001	63.0426	0.7258	-0.1968026	0.6031974	
0.7237	3.2332	-4.7601	-0.00209999999999999	63.7663	0.7237	-0.1959063	0.6040937	
0.7237	3.2332	-4.7601	0.0	64.49	0.7237	-0.20923	0.59077	
0.7215	3.3415	-4.4613	-0.00219999999999998	65.2115	0.7215	-0.1963115	0.6036885	
0.7215	3.3415	-4.4613	0.0	65.933	0.7215	-0.210233	0.589767	
0.7192	3.4657	-4.4715	-0.00230000000000008	66.6522	0.7192	-0.1966922	0.603307800000001	
